Engine CC,Total,Price,Female,Manufacturer,Unknown,Fuel,Male,Power,Model,Transmission
1289.0,47250.0,7.863333333,12202.0,Skoda,993.0,petrol,34055.0,44.0,Favorit,5.0
1372.4,47237.0,10.9158,10868.0,Lada,716.0,petrol,35653.0,49.8,Samara,5.0
1981.818182,46703.0,59.43242424,9131.0,Audi,2161.0,petrol,35411.0,150.4545455,A,7.0
899.0,46428.0,7.712,28446.0,Fiat,1974.0,petrol,16008.0,29.0,Cinquecento,5.0
1520.952381,45778.0,11.81928571,13344.0,Datsun,866.0,petrol,31568.0,56.85714286,Sunny,4.619047619
1108.0,42047.0,8.17,26854.0,Fiat,2015.0,petrol,13178.0,40.0,Seicento,5.0
868.3333333,41438.0,7.92,23020.0,Rover,1592.0,petrol,16826.0,33.33333333,Mini,4.0
1506.5,40408.0,13.24516667,17176.0,Daewoo,1968.0,petrol,21264.0,66.66666667,Lanos,4.833333333
1663.928571,39396.0,44.30857143,14542.0,Volkswagen,1750.0,petrol,23104.0,108.0,Tiguan,6.714285714
1837.363636,38957.0,22.77681818,13331.0,Fiat,1568.0,petrol,24058.0,92.36363636,Stilo,5.272727273
1750.615385,38163.0,33.70615385,10611.0,Volkswagen,1185.0,petrol,26367.0,120.1538462,Scirocco,6.153846154
1854.2,38033.0,45.6995,9356.0,Volkswagen,2833.0,diesel,25844.0,114.0,Sharan,6.0
1466.307692,37876.0,22.455,15167.0,Fiat,1479.0,petrol,21230.0,92.30769231,Bravo,6.0
1773.7,37732.0,22.69,8806.0,Mitsubishi,1693.0,petrol,27233.0,82.2,Carisma,4.8
1545.428571,36741.0,41.38957143,15501.0,Mercedes,2148.0,diesel,19092.0,105.7142857,B,7.285714286
592.5625,36699.0,19.9680625,16848.0,Smart,2113.0,automatic,17738.0,55.375,Fortwo,2.8125
2719.842105,34887.0,39.70773684,10844.0,Chrysler,1742.0,diesel,22301.0,117.5789474,Voyager,4.842105263
1308.285714,34410.0,11.389,19449.0,Toyota,1402.0,petrol,13559.0,53.0,Starlet,4.142857143
1090.4,33866.0,9.8628,14924.0,Suzuki,2399.0,petrol,16543.0,50.0,Wagon,5.0
2242.636364,33372.0,44.14181818,9212.0,Hyundai,1516.0,diesel,22644.0,144.6363636,Santa,6.545454545
1741.0,30845.0,16.4455,8129.0,Hyundai,832.0,petrol,21884.0,78.0,Lantra,4.666666667
1350.0,30714.0,8.400222222,11634.0,Datsun,646.0,petrol,18434.0,44.55555556,Cherry,4.333333333
1298.666667,30708.0,17.82333333,15260.0,Renault,1747.0,petrol,13701.0,70.33333333,Modus,4.666666667
1498.0,30303.0,12.47666667,10721.0,Daewoo,1030.0,petrol,18552.0,58.66666667,Nexia,4.666666667
2048.666667,29697.0,36.01325,7821.0,Kia,907.0,petrol,20969.0,151.6666667,Sorento,6.0
999.0,29196.0,17.065625,17894.0,Volkswagen,1082.0,petrol,10220.0,51.375,Up,5.125
1372.666667,28841.0,25.94322222,12767.0,Suzuki,1973.0,petrol,14101.0,67.0,Jimny,4.777777778
850.2727273,28699.0,9.492272727,17397.0,Chevrolet,1640.0,petrol,9662.0,40.81818182,Matiz,4.909090909
2050.333333,28563.0,27.78966667,8742.0,Honda,1165.0,petrol,18656.0,110.6666667,Prelude,4.666666667
2239.666667,27979.0,43.08,7532.0,Toyota,1964.0,petrol,18483.0,105.0,Previa,4.666666667
3071.0,27942.0,83.50125,6312.0,Porsche,1597.0,petrol,20033.0,213.5,Boxster,6.5
1373.75,27180.0,13.88308333,17473.0,Volkswagen,1620.0,petrol,8087.0,47.75,Lupo,4.75
1463.857143,27113.0,10.32442857,9317.0,Hyundai,545.0,petrol,17251.0,54.35714286,Pony,4.142857143
2458.909091,26263.0,30.86290909,3254.0,Ford,811.0,petrol,22198.0,105.5454545,Scorpio,4.454545455
1836.875,24797.0,20.1241875,5990.0,Fiat,1010.0,petrol,17797.0,79.875,Marea,4.875
5000.0,24771.0,145.6466667,3013.0,Jaguar,1154.0,petrol,20604.0,283.0,XK,6.0
1774.778947,24651.0,27.13,9495.0,Seat,999.0,diesel,14157.0,96.05263158,Altea,5.768421053
1762.75,24597.0,11.9845625,4316.0,Opel,345.0,petrol,19936.0,69.0,Manta,4.0
2697.368421,24410.0,37.01736842,6332.0,Nissan,979.0,diesel,17099.0,97.57894737,Terrano,4.736842105
2222.710526,23818.0,43.06842105,2251.0,Mercedes,1582.0,diesel,19985.0,104.2017544,Sprinter,6.254385965
1754.4,23793.0,32.09,11954.0,MG,1298.0,petrol,10541.0,98.2,TF,4.0
1197.0,23465.0,19.45142857,10943.0,Suzuki,1790.0,petrol,10732.0,61.0,Ignis,3.571428571
1746.944444,23273.0,49.82277778,6275.0,Seat,1275.0,petrol,15723.0,115.8333333,Alhambra,6.0
1541.5,22980.0,16.67175,6721.0,Honda,992.0,petrol,15267.0,74.0,Concerto,4.5
2245.6,22769.0,30.0062,3224.0,Toyota,749.0,petrol,18796.0,115.4666667,Camry,3.2
1391.023256,22091.0,18.76848837,7486.0,Renault,1332.0,diesel,13273.0,67.02325581,Kangoo,4.860465116
2084.37931,21689.0,37.52210345,4950.0,Subaru,1387.0,petrol,15352.0,107.3793103,Legacy,3.896551724
2127.333333,21346.0,25.08266667,3771.0,Mitsubishi,694.0,petrol,16881.0,93.6,Galant,4.533333333
1324.0,21266.0,9.358333333,11103.0,Kia,813.0,petrol,9350.0,47.0,Pride,4.333333333
1755.75,20644.0,31.195,6182.0,Kia,834.0,petrol,13628.0,105.875,Carens,6.0
2238.631579,20317.0,29.88478947,7898.0,Chrysler,1069.0,petrol,11350.0,109.1052632,PT,4.736842105
